"","farm","name","area","type","date_planting","dist_inter_rang","dist_inter_plant","lat","lon"
"130",8,"CLOS SAINT PAUL",0.3069,1,NA,1,1.15,49.164237,4.048227
"131",8,"GRANDS CARIZETS",0.1778,1,NA,1,1.15,49.156744,4.062434
"132",8,"BLANCHES VOYES",0.1925,1,NA,1,1.15,49.164237,4.048227
"133",8,"VAUREAGES",0.0575,1,NA,1,1.15,49.164237,4.048227
"134",8,"DERRIERE LES MAISONS",0.2368,1,NA,1,1.15,49.156744,4.062434
"135",8,"BAS CLOS",0.125,1,NA,1,1.15,49.164237,4.048227
"136",8,"PETITS CARIZETS",0.0849,1,NA,1,1.15,49.156744,4.062434
"137",8,"DRILL FOUR",0.6254,1,NA,1,1.15,49.156744,4.062434
"138",8,"VIEUX BEAUNES",0.4537,1,NA,1,1.15,49.153973,4.079386
"139",8,"CRIERES",0.4966,1,NA,1,1.15,49.156744,4.062434
"140",8,"GRANDES PRUCHES",0.2182,2,NA,1,1.15,49.156744,4.062434
"141",9,"SOBINETTES",0.2021,2,NA,1,1.15,49.156744,4.062434
"142",9,"PETITES PRUCHES",0.0629,2,NA,1,1.15,49.156744,4.062434
"143",9,"BAS MOUTIONS",0.431,2,NA,1,1.15,49.164237,4.048227
"144",9,"CLOS DERARD",0.53,2,NA,1,1.15,49.164237,4.048227
"145",9,"RUELLES",0.0602,2,NA,1,1.15,49.156744,4.062434
"146",9,"VOIES DE CHIGNY",0.3272,3,NA,1,1.15,49.156744,4.062434
"147",9,"CHAMPS LUDEES",0.154,3,NA,1,1.15,49.156744,4.062434
"148",9,"CROTELETS",0.1098,3,NA,1,1.15,49.156744,4.062434
"149",9,"COUTURES",0.0813,3,NA,1,1.15,49.156744,4.062434
"150",9,"LES TERMES",0.07,1,NA,1,1.15,49.192788,4.045117
"151",9,"LES VARENNES",0.103,1,NA,1,1.15,49.164237,4.048227
"152",9,"LES BLANCHES VOIES",0.1336,3,NA,1,1.15,49.164237,4.048227
"153",10,"LES TERMES",0.229,3,NA,1,1.15,49.192788,4.045117
"154",10,"LES VAURAIAGES",0.0935,3,NA,1,1.15,49.164237,4.048227
"155",10,"BEAUNES",0.1073,1,NA,1,1.15,49.153973,4.079386
"156",10,"NOYER L'HERBIER",0.0432,1,NA,1,1.15,49.153973,4.079386
"157",10,"CARIZETS D'EN BAS",0.129,1,NA,1,1.15,49.156744,4.062434
"158",10,"VAURIAGES",0.0742,1,NA,1,1.15,49.164237,4.048227
"159",10,"CORNE CERFS",0.115,1,NA,1,1.15,49.164237,4.048227
"160",10,"CHEMIN D'AMIS BAS",0.07,1,NA,1,1.15,49.153973,4.079386
"161",10,"LES GRANDES CRIERES",0.12,1,NA,1,1.15,49.156744,4.062434
"162",10,"BEAUNES",0.21,1,NA,1,1.15,49.153973,4.079386
"163",10,"CHEMIN D'AMIS HAUT",0.1498,1,NA,1,1.15,49.153973,4.079386
"164",10,"TROIS PUITS",0.12,2,NA,1,1.15,49.205885,4.039252
"165",10,"PRUCHES D'EN HAUT",0.0645,2,NA,1,1.15,49.156744,4.062434
"166",10,"BEAUX REGARDS",0.0806,2,NA,1,1.15,49.153973,4.079386
"167",10,"HOCATS",0.0488,2,NA,1,1.15,49.153973,4.079386
"168",10,"PECHERINES",0.0717,2,NA,1,1.15,49.156744,4.062434
"169",11,"CROIX LE PRETRE",0.1814,2,NA,1,1.15,49.153973,4.079386
"170",11,"BASSIGNONS",0.0665,2,NA,1,1.15,49.156744,4.062434
"171",11,"AMIS LES CHAMPS",0.0729,2,NA,1,1.15,49.156744,4.062434
"172",11,"TROIS PUITS",0.11,3,NA,1,1.15,49.205885,4.039252
"173",11,"CORRIGNIERS  AK  0036",0.37,3,NA,1,1.15,49.153973,4.079386
"174",11,"MOUTHIONS",0.26,3,NA,1,1.15,49.156744,4.062434
"175",11,"CHEMIN D'AMIS",0.12,3,NA,1,1.15,49.153973,4.079386
"176",11,"NOUES 386",0.0685,3,NA,1,1.15,49.156744,4.062434
"177",11,"NOUES",0.22,3,NA,1,1.15,49.156744,4.062434
"178",11,"NOUES",0.24,3,NA,1,1.15,49.156744,4.062434
